"","x","y","share_100","year"
"496",-320.5,291.5,0,2003
"497",-320.5,303,0,2003
"498",-320.5,315,0,2003
"499",-320.5,326.5,0,2003
"500",-320.5,338,0,2003
"501",-309,-809.5,0,2003
"502",-309,-798,0,2003
"503",-309,-786.5,0,2003
"504",-309,-775,0,2003
"505",-309,-763,0,2003
"506",-309,-751.5,0,2003
"507",-309,-740,0,2003
"508",-309,-728.5,0,2003
"509",-309,-717,0,2003
"510",-309,-705,0,2003
"511",-309,-693.5,0,2003
"512",-309,-682,0,2003
"513",-309,-670.5,0,2003
"514",-309,-659,0,2003
"515",-309,-647,0,2003
"516",-309,-635.5,0,2003
"517",-309,-624,0,2003
"518",-309,-612.5,0,2003
"519",-309,-601,0,2003
"520",-309,-589,0,2003
"521",-309,-577.5,0,2003
"522",-309,-566,0,2003
"523",-309,-554.5,0,2003
"524",-309,-543,0,2003
"525",-309,-531.5,0,2003
"526",-309,-520,0,2003
"527",-309,-508,0,2003
"528",-309,-496.5,0,2003
"529",-309,-485,0,2003
"530",-309,-473.5,0,2003
"531",-309,-462,0,2003
"532",-309,-450,0,2003
"533",-309,-438.5,0,2003
"534",-309,-427,0,2003
"535",-309,-415.5,0,2003
"536",-309,-404,0,2003
"537",-309,-392,0,2003
"538",-309,-380.5,0,2003
"539",-309,-369,0,2003
"540",-309,-357.5,0,2003
"541",-309,-346,0,2003
"542",-309,-334,0,2003
"543",-309,-322.5,0,2003
"544",-309,-311,0,2003
"545",-309,-299.5,0,2003
"546",-309,-288,0,2003
"547",-309,-276.5,0,2003
"548",-309,-265,0,2003
"549",-309,-253,0,2003
"550",-309,-241.5,0,2003
"551",-309,-230,0,2003
"552",-309,-218.5,0,2003
"553",-309,-207,0,2003
"554",-309,-195,0,2003
"555",-309,-183.5,0,2003
"556",-309,-172,0,2003
"557",-309,-160.5,0,2003
"558",-309,-149,0,2003
"559",-309,-137,0,2003
"560",-309,-125.5,0,2003
"561",-309,-114,0,2003
"562",-309,-102.3,0,2003
"563",-309,-90.8,0,2003
"564",-309,-79.25,0,2003
"565",-309,-67.7,0,2003
"566",-309,-56.1,0,2003
"567",-309,-44.5,0,2003
"568",-309,-32.9,0,2003
"569",-309,-21.3,0,2003
"570",-309,-9.705,3.210151,2003
"571",-309,1.885,0,2003
"572",-309,13.49,0,2003
"573",-309,25.1,0.321801,2003
"574",-309,36.7,2.073826,2003
"575",-309,48.25,2.244026,2003
"576",-309,59.8,2.497451,2003
"577",-309,71.4,2.399881,2003
"578",-309,83,1.811151,2003
"579",-309,94.4,1.7622135,2003
"580",-309,106,0.873684333333333,2003
"581",-309,118,0.7644135,2003
"582",-309,129.5,0.816629571428571,2003
"583",-309,141,1.0054635,2003
"584",-309,152.5,1.402601,2003
"585",-309,164,0.219781,2003
"586",-309,176,0,2003
"587",-309,187.5,0.837501,2003
"588",-309,199,1.642226,2003
"589",-309,210.5,0,2003
"590",-309,222,0,2003
"591",-309,234,0,2003
"592",-309,245.5,0,2003
"593",-309,257,0,2003
"594",-309,268.5,0,2003
"595",-309,280,0,2003
"596",-309,291.5,0,2003
"597",-309,303,0,2003
"598",-309,315,0,2003
"599",-309,326.5,0,2003
"600",-309,338,0,2003
"601",-297.5,-809.5,0,2003
"602",-297.5,-798,0,2003
"603",-297.5,-786.5,0,2003
"604",-297.5,-775,0,2003
"605",-297.5,-763,0,2003
"606",-297.5,-751.5,0,2003
"607",-297.5,-740,0,2003
"608",-297.5,-728.5,0,2003
"609",-297.5,-717,0,2003
"610",-297.5,-705,0,2003
"611",-297.5,-693.5,0,2003
"612",-297.5,-682,0,2003
"613",-297.5,-670.5,0,2003
"614",-297.5,-659,0,2003
"615",-297.5,-647,0,2003
"616",-297.5,-635.5,0,2003
"617",-297.5,-624,0,2003
"618",-297.5,-612.5,0,2003
"619",-297.5,-601,0,2003
"620",-297.5,-589,0,2003
"621",-297.5,-577.5,0,2003
"622",-297.5,-566,0,2003
"623",-297.5,-554.5,0,2003
"624",-297.5,-543,0,2003
"625",-297.5,-531.5,0,2003
"626",-297.5,-520,0,2003
"627",-297.5,-508,0,2003
"628",-297.5,-496.5,0,2003
"629",-297.5,-485,0,2003
"630",-297.5,-473.5,0,2003
"631",-297.5,-462,0,2003
"632",-297.5,-450,0,2003
"633",-297.5,-438.5,0,2003
"634",-297.5,-427,0,2003
